Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Forest Able,1957,G,24.0,SYR,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Paul Arizin*,1957,SF,28.0,PHW,71.0,0.0,2767.0,613.0,1451.0,0.422,0.0,0.0,0.0,613.0,1451.0,0.422,0.422,591.0,713.0,0.829,0.0,0.0,561.0,150.0,0.0,0.0,0.0,274.0,1817.0
Bob Armstrong,1957,C-F,23.0,PHW,19.0,0.0,110.0,11.0,37.0,0.297,0.0,0.0,0.0,11.0,37.0,0.297,0.297,6.0,12.0,0.5,0.0,0.0,39.0,3.0,0.0,0.0,0.0,13.0,28.0
Jim Baechtold,1957,SF,29.0,NYK,45.0,0.0,462.0,75.0,197.0,0.381,0.0,0.0,0.0,75.0,197.0,0.381,0.381,66.0,88.0,0.75,0.0,0.0,80.0,33.0,0.0,0.0,0.0,39.0,216.0
John Barber,1957,F,29.0,STL,5.0,0.0,19.0,2.0,8.0,0.25,0.0,0.0,0.0,2.0,8.0,0.25,0.25,3.0,6.0,0.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,7.0
Ernie Beck,1957,SG,25.0,PHW,72.0,0.0,1743.0,195.0,508.0,0.384,0.0,0.0,0.0,195.0,508.0,0.384,0.384,111.0,157.0,0.707,0.0,0.0,312.0,190.0,0.0,0.0,0.0,155.0,501.0
Irv Bemoras,1957,SF,26.0,STL,62.0,0.0,983.0,124.0,385.0,0.322,0.0,0.0,0.0,124.0,385.0,0.322,0.322,70.0,103.0,0.68,0.0,0.0,127.0,46.0,0.0,0.0,0.0,76.0,318.0
Gary Bergen,1957,C,24.0,NYK,6.0,0.0,40.0,3.0,11.0,0.273,0.0,0.0,0.0,3.0,11.0,0.273,0.273,2.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,8.0
Al Bianchi,1957,PG,24.0,SYR,68.0,0.0,1577.0,199.0,567.0,0.351,0.0,0.0,0.0,199.0,567.0,0.351,0.351,165.0,239.0,0.69,0.0,0.0,227.0,106.0,0.0,0.0,0.0,198.0,563.0
Carl Braun*,1957,PG,29.0,NYK,72.0,0.0,2345.0,378.0,993.0,0.381,0.0,0.0,0.0,378.0,993.0,0.381,0.381,245.0,303.0,0.809,0.0,0.0,259.0,256.0,0.0,0.0,0.0,195.0,1001.0
Bob Burrow,1957,C,22.0,ROC,67.0,0.0,1028.0,137.0,366.0,0.374,0.0,0.0,0.0,137.0,366.0,0.374,0.374,130.0,211.0,0.616,0.0,0.0,293.0,41.0,0.0,0.0,0.0,165.0,404.0
Nat Clifton*,1957,PF,34.0,NYK,71.0,0.0,2231.0,308.0,818.0,0.377,0.0,0.0,0.0,308.0,818.0,0.377,0.377,146.0,217.0,0.673,0.0,0.0,557.0,164.0,0.0,0.0,0.0,243.0,762.0
Jack Coleman,1957,PF,32.0,STL,72.0,0.0,2145.0,316.0,775.0,0.408,0.0,0.0,0.0,316.0,775.0,0.408,0.408,123.0,161.0,0.764,0.0,0.0,645.0,159.0,0.0,0.0,0.0,235.0,755.0
Ed Conlin,1957,SG,23.0,SYR,71.0,0.0,2250.0,335.0,896.0,0.374,0.0,0.0,0.0,335.0,896.0,0.374,0.374,283.0,368.0,0.769,0.0,0.0,430.0,205.0,0.0,0.0,0.0,170.0,953.0
Larry Costello,1957,PG,25.0,PHW,72.0,0.0,2111.0,186.0,497.0,0.374,0.0,0.0,0.0,186.0,497.0,0.374,0.374,175.0,222.0,0.788,0.0,0.0,323.0,236.0,0.0,0.0,0.0,182.0,547.0
Bob Cousy*,1957,PG,28.0,BOS,64.0,0.0,2364.0,478.0,1264.0,0.378,0.0,0.0,0.0,478.0,1264.0,0.378,0.378,363.0,442.0,0.821,0.0,0.0,309.0,478.0,0.0,0.0,0.0,134.0,1319.0
Walt Davis,1957,PF,26.0,PHW,65.0,0.0,1250.0,178.0,437.0,0.407,0.0,0.0,0.0,178.0,437.0,0.407,0.407,74.0,106.0,0.698,0.0,0.0,306.0,52.0,0.0,0.0,0.0,235.0,430.0
George Dempsey,1957,PG,27.0,PHW,71.0,0.0,1147.0,134.0,302.0,0.444,0.0,0.0,0.0,134.0,302.0,0.444,0.444,55.0,102.0,0.539,0.0,0.0,251.0,136.0,0.0,0.0,0.0,107.0,323.0
Corky Devlin,1957,SG,25.0,FTW,71.0,0.0,1242.0,190.0,502.0,0.378,0.0,0.0,0.0,190.0,502.0,0.378,0.378,97.0,143.0,0.678,0.0,0.0,146.0,141.0,0.0,0.0,0.0,114.0,477.0
Walter Dukes,1957,C,26.0,MNL,71.0,0.0,1866.0,228.0,626.0,0.364,0.0,0.0,0.0,228.0,626.0,0.364,0.364,264.0,383.0,0.689,0.0,0.0,794.0,54.0,0.0,0.0,0.0,273.0,720.0
Ray Felix,1957,C,26.0,NYK,72.0,0.0,1622.0,295.0,709.0,0.416,0.0,0.0,0.0,295.0,709.0,0.416,0.416,277.0,371.0,0.747,0.0,0.0,587.0,36.0,0.0,0.0,0.0,284.0,867.0
Ed Fleming,1957,SG,23.0,ROC,51.0,0.0,927.0,109.0,364.0,0.299,0.0,0.0,0.0,109.0,364.0,0.299,0.299,139.0,191.0,0.728,0.0,0.0,183.0,81.0,0.0,0.0,0.0,94.0,357.0
Larry Foust,1957,C,28.0,FTW,61.0,0.0,1533.0,243.0,617.0,0.394,0.0,0.0,0.0,243.0,617.0,0.394,0.394,273.0,380.0,0.718,0.0,0.0,555.0,71.0,0.0,0.0,0.0,221.0,759.0
