Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,1991,PF,22.0,POR,43.0,0.0,6.7,1.3,2.7,0.474,0.0,0.0,0.0,1.3,2.7,0.474,0.474,0.6,1.0,0.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1
Mahmoud Abdul-Rauf,1991,PG,21.0,DEN,67.0,19.0,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.432,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1
Mark Acres,1991,C,28.0,ORL,68.0,0.0,19.3,1.6,3.1,0.509,0.0,0.0,0.333,1.6,3.1,0.512,0.512,1.0,1.5,0.653,2.1,3.2,5.3,0.4,0.4,0.4,0.6,3.2,4.2
Michael Adams,1991,PG,28.0,DEN,66.0,66.0,35.5,8.5,21.5,0.394,2.5,8.5,0.296,6.0,13.0,0.459,0.453,7.0,8.0,0.879,0.9,3.0,3.9,10.5,2.2,0.1,3.6,2.5,26.5
Mark Aguirre,1991,SF,31.0,DET,78.0,13.0,25.7,5.4,11.7,0.462,0.3,1.0,0.308,5.1,10.7,0.477,0.475,3.1,4.1,0.757,1.7,3.1,4.8,1.8,0.6,0.3,1.6,2.7,14.2
Danny Ainge,1991,SG,31.0,POR,80.0,0.0,21.4,4.2,8.9,0.472,1.3,3.1,0.406,2.9,5.8,0.508,0.543,1.4,1.7,0.826,0.6,2.0,2.6,3.6,0.8,0.2,1.3,2.4,11.1
Mark Alarie,1991,PF,27.0,WSB,42.0,1.0,14.0,2.4,5.4,0.44,0.1,0.5,0.238,2.2,4.9,0.461,0.451,1.0,1.1,0.854,1.0,1.8,2.8,1.1,0.4,0.2,1.0,2.1,5.8
Steve Alford,1991,PG,26.0,DAL,34.0,0.0,6.9,1.7,3.4,0.504,0.2,0.7,0.304,1.5,2.8,0.553,0.534,0.8,0.9,0.839,0.3,0.4,0.7,0.6,0.2,0.0,0.5,0.3,4.4
Greg Anderson,1991,PF,26.0,TOT,68.0,2.0,13.6,1.7,4.0,0.43,0.0,0.0,0.0,1.7,4.0,0.431,0.43,0.9,1.7,0.522,1.4,3.3,4.7,0.2,0.5,0.7,1.2,2.1,4.3
Greg Anderson,1991,PF,26.0,MIL,26.0,0.0,9.5,1.0,2.8,0.37,0.0,0.0,0.0,1.0,2.8,0.375,0.37,0.6,1.1,0.571,1.0,1.9,2.9,0.1,0.3,0.3,0.8,1.1,2.7
Greg Anderson,1991,PF,26.0,NJN,1.0,0.0,18.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,2.0,0.0,1.0,4.0,8.0
Greg Anderson,1991,PF,26.0,DEN,41.0,2.0,16.1,2.1,4.7,0.44,0.0,0.0,0.0,2.1,4.7,0.44,0.44,1.1,2.1,0.506,1.6,4.1,5.8,0.3,0.6,0.9,1.5,2.6,5.2
Nick Anderson,1991,SG,23.0,ORL,70.0,42.0,28.2,5.7,12.2,0.467,0.2,0.8,0.293,5.5,11.4,0.479,0.477,2.5,3.7,0.668,1.3,4.2,5.5,1.5,1.1,0.6,1.6,2.1,14.1
Ron Anderson,1991,SF,32.0,PHI,82.0,13.0,28.5,6.2,12.9,0.485,0.1,0.5,0.209,6.1,12.3,0.497,0.49,2.0,2.4,0.833,1.3,3.2,4.5,1.4,0.8,0.2,1.2,2.0,14.6
Willie Anderson,1991,SG,24.0,SAS,75.0,75.0,34.6,6.0,13.2,0.457,0.1,0.5,0.2,5.9,12.7,0.467,0.461,2.3,2.8,0.798,0.9,3.8,4.7,4.8,1.1,0.6,2.2,3.0,14.4
Michael Ansley,1991,SF,23.0,ORL,67.0,1.0,13.1,2.1,3.9,0.548,0.0,0.0,0.0,2.1,3.9,0.548,0.548,1.4,1.9,0.717,1.8,2.0,3.8,0.4,0.4,0.1,0.5,1.9,5.7
B.J. Armstrong,1991,PG,23.0,CHI,82.0,0.0,21.1,3.7,7.7,0.481,0.2,0.4,0.5,3.5,7.3,0.48,0.493,1.2,1.4,0.874,0.3,1.5,1.8,3.7,0.9,0.0,1.3,1.4,8.8
