Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shareef Abdur-Rahim,2006,PF,29.0,SAC,72.0,30.0,27.2,4.6,8.8,0.525,0.1,0.3,0.227,4.5,8.5,0.536,0.529,3.0,3.9,0.784,1.5,3.5,5.0,2.1,0.7,0.6,1.5,3.2,12.3
Alex Acker,2006,SG,23.0,DET,5.0,0.0,7.0,0.8,3.2,0.25,0.2,1.0,0.2,0.6,2.2,0.273,0.281,0.0,0.0,0.0,0.2,0.8,1.0,0.8,0.2,0.0,0.8,0.8,1.8
Malik Allen,2006,PF,27.0,CHI,54.0,20.0,13.0,2.2,4.6,0.49,0.0,0.0,1.0,2.2,4.6,0.488,0.492,0.4,0.7,0.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7,4.9
Ray Allen*,2006,SG,30.0,SEA,78.0,78.0,38.7,8.7,19.2,0.454,3.4,8.4,0.412,5.3,10.9,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1
Tony Allen,2006,PG,24.0,BOS,51.0,9.0,19.2,2.5,5.4,0.471,0.2,0.7,0.324,2.3,4.7,0.492,0.491,2.0,2.6,0.746,0.6,1.5,2.2,1.3,1.0,0.4,1.3,2.5,7.2
Rafer Alston,2006,PG,29.0,HOU,63.0,63.0,38.6,4.4,11.7,0.379,1.6,5.0,0.327,2.8,6.8,0.418,0.449,1.6,2.3,0.692,0.6,3.5,4.0,6.7,1.6,0.2,2.5,3.1,12.1
Chris Andersen,2006,C,27.0,NOK,32.0,2.0,17.8,1.8,3.1,0.571,0.0,0.0,0.0,1.8,3.1,0.571,0.571,1.5,3.2,0.476,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6,5.0
Alan Anderson,2006,SF,23.0,CHA,36.0,7.0,15.7,2.1,5.0,0.414,0.7,1.6,0.414,1.4,3.4,0.415,0.481,0.9,1.1,0.805,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1.3,5.8
Derek Anderson,2006,SG,31.0,TOT,43.0,11.0,24.3,2.5,7.0,0.356,0.9,3.1,0.299,1.6,3.9,0.402,0.422,2.2,2.6,0.838,0.5,2.8,3.3,2.3,0.5,0.1,1.3,2.3,8.1
Derek Anderson,2006,SG,31.0,HOU,20.0,8.0,29.1,3.4,8.7,0.393,1.0,3.4,0.284,2.5,5.3,0.462,0.448,3.1,3.7,0.836,0.6,3.6,4.2,2.7,0.8,0.2,1.9,2.5,10.8
Derek Anderson,2006,SG,31.0,MIA,23.0,3.0,20.2,1.7,5.7,0.308,0.9,2.9,0.313,0.8,2.7,0.302,0.388,1.4,1.7,0.842,0.4,2.2,2.6,2.1,0.3,0.1,0.7,2.1,5.8
Shandon Anderson,2006,SF,32.0,MIA,48.0,1.0,13.3,1.1,2.6,0.429,0.1,0.4,0.263,1.0,2.2,0.458,0.448,0.3,0.4,0.722,0.4,1.3,1.7,0.6,0.4,0.1,0.5,1.6,2.6
Martynas Andriuškevičius,2006,C,19.0,CLE,6.0,0.0,1.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0
Carmelo Anthony,2006,SF,21.0,DEN,80.0,80.0,36.8,9.5,19.7,0.481,0.5,1.9,0.243,9.0,17.8,0.506,0.493,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5
Rafael Araújo,2006,C,25.0,TOR,52.0,34.0,11.6,1.0,2.8,0.366,0.0,0.0,0.0,1.0,2.8,0.368,0.366,0.3,0.5,0.536,0.8,1.9,2.8,0.3,0.5,0.1,0.8,2.0,2.3
Gilbert Arenas,2006,PG,24.0,WAS,80.0,80.0,42.3,9.3,20.9,0.447,2.5,6.8,0.369,6.8,14.1,0.485,0.507,8.2,10.0,0.82,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3
Trevor Ariza,2006,SF,20.0,TOT,57.0,10.0,17.5,1.6,4.0,0.412,0.0,0.1,0.2,1.6,3.9,0.416,0.414,1.4,2.2,0.606,1.4,2.5,3.8,1.1,1.0,0.2,1.1,1.8,4.6
Trevor Ariza,2006,SF,20.0,NYK,36.0,10.0,19.7,1.7,4.1,0.418,0.0,0.1,0.333,1.7,4.0,0.42,0.421,1.2,2.1,0.545,1.4,2.4,3.8,1.3,1.2,0.3,1.3,2.2,4.6
Trevor Ariza,2006,SF,20.0,ORL,21.0,0.0,13.8,1.5,3.8,0.4,0.0,0.1,0.0,1.5,3.7,0.41,0.4,1.7,2.4,0.7,1.4,2.5,3.9,0.7,0.7,0.1,0.8,1.0,4.7
Darrell Armstrong,2006,PG,37.0,DAL,62.0,2.0,10.0,0.7,2.1,0.336,0.2,0.8,0.229,0.5,1.3,0.4,0.379,0.5,0.7,0.786,0.3,1.0,1.3,1.4,0.4,0.0,0.9,1.1,2.1
Carlos Arroyo,2006,PG-SG,26.0,TOT,77.0,0.0,15.5,2.2,4.9,0.444,0.1,0.3,0.35,2.1,4.6,0.45,0.454,1.4,1.8,0.774,0.4,1.3,1.7,3.0,0.5,0.1,1.1,1.5,5.8
Carlos Arroyo,2006,PG,26.0,DET,50.0,0.0,12.0,1.1,3.1,0.363,0.0,0.1,0.333,1.1,3.0,0.364,0.369,0.8,1.2,0.724,0.5,0.9,1.4,3.1,0.4,0.1,0.9,1.5,3.2
Carlos Arroyo,2006,SG,26.0,ORL,27.0,0.0,22.0,4.1,8.2,0.502,0.2,0.5,0.357,3.9,7.7,0.512,0.514,2.4,2.9,0.81,0.3,1.9,2.2,2.9,0.7,0.0,1.4,1.6,10.8
Chucky Atkins,2006,PG-SG,31.0,TOT,71.0,41.0,24.1,3.2,8.1,0.394,1.4,3.9,0.354,1.8,4.2,0.431,0.479,1.8,2.3,0.791,0.3,1.4,1.7,2.8,0.6,0.0,1.2,2.1,9.5
Chucky Atkins,2006,SG,31.0,WAS,28.0,2.0,19.7,2.4,6.2,0.379,1.2,3.3,0.359,1.2,2.9,0.402,0.474,0.8,1.1,0.71,0.4,1.2,1.6,2.5,0.5,0.0,1.1,2.1,6.7
Chucky Atkins,2006,PG,31.0,MEM,43.0,39.0,27.0,3.7,9.3,0.401,1.5,4.2,0.352,2.2,5.0,0.442,0.481,2.5,3.1,0.811,0.3,1.5,1.7,3.0,0.7,0.0,1.3,2.2,11.4
Stacey Augmon,2006,SF,37.0,ORL,36.0,3.0,10.7,0.7,2.0,0.342,0.0,0.0,0.0,0.7,2.0,0.342,0.342,0.6,0.8,0.7,0.5,1.0,1.5,0.6,0.3,0.2,0.3,1.1,2.0
