Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gary Alcorn,1961,C,24.0,LAL,20.0,0.0,174.0,12.0,40.0,0.3,0.0,0.0,0.0,12.0,40.0,0.3,0.3,7.0,8.0,0.875,0.0,0.0,50.0,2.0,0.0,0.0,0.0,47.0,31.0
Paul Arizin*,1961,SF,32.0,PHW,79.0,0.0,2935.0,650.0,1529.0,0.425,0.0,0.0,0.0,650.0,1529.0,0.425,0.425,532.0,639.0,0.833,0.0,0.0,681.0,188.0,0.0,0.0,0.0,335.0,1832.0
Al Attles*,1961,PG,24.0,PHW,77.0,0.0,1544.0,222.0,543.0,0.409,0.0,0.0,0.0,222.0,543.0,0.409,0.409,97.0,162.0,0.599,0.0,0.0,214.0,174.0,0.0,0.0,0.0,235.0,541.0
Dick Barnett,1961,SG,24.0,SYR,78.0,0.0,2070.0,540.0,1194.0,0.452,0.0,0.0,0.0,540.0,1194.0,0.452,0.452,240.0,337.0,0.712,0.0,0.0,283.0,218.0,0.0,0.0,0.0,169.0,1320.0
Elgin Baylor*,1961,SF,26.0,LAL,73.0,0.0,3133.0,931.0,2166.0,0.43,0.0,0.0,0.0,931.0,2166.0,0.43,0.43,676.0,863.0,0.783,0.0,0.0,1447.0,371.0,0.0,0.0,0.0,279.0,2538.0
Ernie Beck,1961,SG,29.0,TOT,10.0,0.0,82.0,10.0,29.0,0.345,0.0,0.0,0.0,10.0,29.0,0.345,0.345,6.0,7.0,0.857,0.0,0.0,23.0,15.0,0.0,0.0,0.0,10.0,26.0
Ernie Beck,1961,SG,29.0,STL,7.0,0.0,62.0,7.0,21.0,0.333,0.0,0.0,0.0,7.0,21.0,0.333,0.333,5.0,5.0,1.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,6.0,19.0
Ernie Beck,1961,SG,29.0,SYR,3.0,0.0,20.0,3.0,8.0,0.375,0.0,0.0,0.0,3.0,8.0,0.375,0.375,1.0,2.0,0.5,0.0,0.0,11.0,2.0,0.0,0.0,0.0,4.0,7.0
Whitey Bell,1961,PG,28.0,NYK,5.0,0.0,45.0,7.0,18.0,0.389,0.0,0.0,0.0,7.0,18.0,0.389,0.389,1.0,3.0,0.333,0.0,0.0,7.0,1.0,0.0,0.0,0.0,7.0,15.0
Al Bianchi,1961,PG,28.0,SYR,52.0,0.0,667.0,118.0,342.0,0.345,0.0,0.0,0.0,118.0,342.0,0.345,0.345,60.0,87.0,0.69,0.0,0.0,105.0,93.0,0.0,0.0,0.0,137.0,296.0
Bucky Bockhorn,1961,SG,27.0,CIN,79.0,0.0,2669.0,420.0,1059.0,0.397,0.0,0.0,0.0,420.0,1059.0,0.397,0.397,152.0,208.0,0.731,0.0,0.0,434.0,338.0,0.0,0.0,0.0,282.0,992.0
Bob Boozer,1961,PF,23.0,CIN,79.0,0.0,1573.0,250.0,603.0,0.415,0.0,0.0,0.0,250.0,603.0,0.415,0.415,166.0,247.0,0.672,0.0,0.0,488.0,109.0,0.0,0.0,0.0,193.0,666.0
Carl Braun*,1961,PG,33.0,NYK,15.0,0.0,218.0,37.0,79.0,0.468,0.0,0.0,0.0,37.0,79.0,0.468,0.468,11.0,14.0,0.786,0.0,0.0,31.0,48.0,0.0,0.0,0.0,29.0,85.0
Dave Budd,1961,SF,22.0,NYK,61.0,0.0,1075.0,156.0,361.0,0.432,0.0,0.0,0.0,156.0,361.0,0.432,0.432,87.0,134.0,0.649,0.0,0.0,297.0,45.0,0.0,0.0,0.0,171.0,399.0
Barney Cable,1961,SF,25.0,SYR,75.0,0.0,1642.0,266.0,574.0,0.463,0.0,0.0,0.0,266.0,574.0,0.463,0.463,73.0,108.0,0.676,0.0,0.0,469.0,85.0,0.0,0.0,0.0,246.0,605.0
Wilt Chamberlain*,1961,C,24.0,PHW,79.0,0.0,3773.0,1251.0,2457.0,0.509,0.0,0.0,0.0,1251.0,2457.0,0.509,0.509,531.0,1054.0,0.504,0.0,0.0,2149.0,148.0,0.0,0.0,0.0,130.0,3033.0
Gene Conley,1961,PF,30.0,BOS,75.0,0.0,1242.0,183.0,495.0,0.37,0.0,0.0,0.0,183.0,495.0,0.37,0.37,106.0,153.0,0.693,0.0,0.0,550.0,40.0,0.0,0.0,0.0,275.0,472.0
Ed Conlin,1961,SF,27.0,PHW,77.0,0.0,1294.0,216.0,599.0,0.361,0.0,0.0,0.0,216.0,599.0,0.361,0.361,104.0,139.0,0.748,0.0,0.0,262.0,123.0,0.0,0.0,0.0,153.0,536.0
Larry Costello,1961,PG,29.0,SYR,75.0,0.0,2167.0,407.0,844.0,0.482,0.0,0.0,0.0,407.0,844.0,0.482,0.482,270.0,338.0,0.799,0.0,0.0,292.0,413.0,0.0,0.0,0.0,286.0,1084.0
Bob Cousy*,1961,PG,32.0,BOS,76.0,0.0,2468.0,513.0,1382.0,0.371,0.0,0.0,0.0,513.0,1382.0,0.371,0.371,352.0,452.0,0.779,0.0,0.0,331.0,587.0,0.0,0.0,0.0,196.0,1378.0
Ralph Davis,1961,SG,22.0,CIN,73.0,0.0,1210.0,181.0,451.0,0.401,0.0,0.0,0.0,181.0,451.0,0.401,0.401,34.0,52.0,0.654,0.0,0.0,86.0,177.0,0.0,0.0,0.0,127.0,396.0
Archie Dees,1961,C,24.0,DET,28.0,0.0,308.0,53.0,135.0,0.393,0.0,0.0,0.0,53.0,135.0,0.393,0.393,39.0,47.0,0.83,0.0,0.0,94.0,17.0,0.0,0.0,0.0,50.0,145.0
Walter Dukes,1961,C,30.0,DET,73.0,0.0,2044.0,286.0,706.0,0.405,0.0,0.0,0.0,286.0,706.0,0.405,0.405,281.0,400.0,0.703,0.0,0.0,1028.0,139.0,0.0,0.0,0.0,313.0,853.0
Wayne Embry*,1961,C,23.0,CIN,79.0,0.0,2233.0,458.0,1015.0,0.451,0.0,0.0,0.0,458.0,1015.0,0.451,0.451,221.0,331.0,0.668,0.0,0.0,864.0,127.0,0.0,0.0,0.0,286.0,1137.0
Mike Farmer,1961,SF,24.0,TOT,59.0,0.0,1301.0,180.0,461.0,0.39,0.0,0.0,0.0,180.0,461.0,0.39,0.39,69.0,94.0,0.734,0.0,0.0,380.0,81.0,0.0,0.0,0.0,130.0,429.0
