Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,1976,C,29.0,SEA,27.0,0.0,8.3,1.3,2.8,0.467,0.0,0.0,0.0,1.3,2.8,0.467,0.467,0.6,1.1,0.552,1.1,1.7,2.8,0.6,0.3,0.6,0.0,1.1,3.2
Kareem Abdul-Jabbar*,1976,C,28.0,LAL,82.0,0.0,41.2,11.1,21.1,0.529,0.0,0.0,0.0,11.1,21.1,0.529,0.529,5.5,7.8,0.703,3.3,13.5,16.9,5.0,1.5,4.1,0.0,3.6,27.7
Alvan Adams,1976,C,21.0,PHO,80.0,0.0,33.2,7.9,16.8,0.469,0.0,0.0,0.0,7.9,16.8,0.469,0.469,3.3,4.4,0.735,2.7,6.4,9.1,5.6,1.5,1.5,0.0,3.4,19.0
Don Adams,1976,SF,28.0,BUF,56.0,0.0,12.6,1.2,3.0,0.39399999999999996,0.0,0.0,0.0,1.2,3.0,0.39399999999999996,0.39399999999999996,0.7,1.0,0.7020000000000001,0.7,1.9,2.6,1.3,0.5,0.1,0.0,2.3,3.1
Lucius Allen,1976,PG,28.0,LAL,76.0,0.0,31.4,6.1,13.2,0.45899999999999996,0.0,0.0,0.0,6.1,13.2,0.45899999999999996,0.45899999999999996,2.6,3.3,0.7759999999999999,0.8,2.0,2.8,4.7,1.3,0.3,0.0,3.2,14.7
Dan Anderson,1976,PG,25.0,POR,52.0,0.0,11.8,1.7,3.5,0.486,0.0,0.0,0.0,1.7,3.5,0.486,0.486,1.0,1.2,0.836,0.3,0.9,1.2,1.6,0.4,0.0,0.0,1.1,4.4
Jerome Anderson,1976,SG,22.0,BOS,22.0,0.0,5.7,1.1,2.0,0.556,0.0,0.0,0.0,1.1,2.0,0.556,0.556,0.5,0.7,0.688,0.2,0.4,0.6,0.3,0.1,0.1,0.0,1.1,2.8
Tiny Archibald*,1976,PG,27.0,KCK,78.0,0.0,40.8,9.2,20.3,0.45299999999999996,0.0,0.0,0.0,9.2,20.3,0.45299999999999996,0.45299999999999996,6.4,8.0,0.802,0.9,1.9,2.7,7.9,1.6,0.2,0.0,2.2,24.8
Jim Ard,1976,C,27.0,BOS,81.0,0.0,10.5,1.3,3.6,0.364,0.0,0.0,0.0,1.3,3.6,0.364,0.364,0.9,1.2,0.71,1.2,2.4,3.6,0.6,0.1,0.4,0.0,1.7,3.5
Dennis Awtrey,1976,C,27.0,PHO,74.0,0.0,18.6,1.9,4.1,0.467,0.0,0.0,0.0,1.9,4.1,0.467,0.467,1.0,1.5,0.688,1.3,2.7,4.0,2.1,0.3,0.3,0.0,2.1,4.9
Gus Bailey,1976,SG,24.0,HOU,30.0,0.0,8.7,0.9,2.6,0.364,0.0,0.0,0.0,0.9,2.6,0.364,0.364,0.5,0.9,0.5,0.7,1.0,1.7,1.4,0.5,0.3,0.0,1.1,2.3
Mike Bantom,1976,SF,24.0,TOT,73.0,0.0,21.5,3.0,6.5,0.462,0.0,0.0,0.0,3.0,6.5,0.462,0.462,1.9,2.7,0.6829999999999999,1.9,3.4,5.4,1.4,0.4,0.4,0.0,3.0,7.9
Mike Bantom,1976,SF,24.0,PHO,7.0,0.0,9.7,1.1,3.7,0.308,0.0,0.0,0.0,1.1,3.7,0.308,0.308,0.7,0.7,1.0,1.0,2.3,3.3,0.4,0.3,0.3,0.0,1.9,3.0
Mike Bantom,1976,SF,24.0,SEA,66.0,0.0,22.8,3.2,6.8,0.47100000000000003,0.0,0.0,0.0,3.2,6.8,0.47100000000000003,0.47100000000000003,2.0,2.9,0.675,2.0,3.6,5.6,1.5,0.4,0.4,0.0,3.2,8.4
Jim Barnett,1976,SG,31.0,NYK,71.0,0.0,14.5,2.3,5.2,0.442,0.0,0.0,0.0,2.3,5.2,0.442,0.442,1.3,1.6,0.789,0.7,0.6,1.2,1.3,0.3,0.0,0.0,1.2,5.9
Rick Barry*,1976,SF,31.0,GSW,81.0,0.0,38.5,8.7,20.0,0.435,0.0,0.0,0.0,8.7,20.0,0.435,0.435,3.5,3.8,0.9229999999999999,0.9,5.2,6.1,6.1,2.5,0.3,0.0,2.7,21.0
Jerry Baskerville,1976,SF,24.0,PHI,21.0,0.0,5.0,0.4,1.2,0.308,0.0,0.0,0.0,0.4,1.2,0.308,0.308,0.5,0.8,0.625,0.6,0.7,1.3,0.1,0.3,0.2,0.0,1.5,1.2
Butch Beard,1976,PG,28.0,TOT,75.0,0.0,22.7,3.0,6.6,0.46,0.0,0.0,0.0,3.0,6.6,0.46,0.46,1.9,2.6,0.75,1.4,2.8,4.1,2.9,1.1,0.1,0.0,2.9,8.0
Butch Beard,1976,PG,28.0,CLE,15.0,0.0,17.0,2.3,6.0,0.389,0.0,0.0,0.0,2.3,6.0,0.389,0.389,1.8,2.5,0.73,0.9,1.9,2.9,3.0,0.7,0.1,0.0,2.4,6.5
Butch Beard,1976,PG,28.0,NYK,60.0,0.0,24.2,3.2,6.8,0.475,0.0,0.0,0.0,3.2,6.8,0.475,0.475,2.0,2.6,0.755,1.5,3.0,4.5,2.9,1.2,0.1,0.0,3.0,8.4
Ron Behagen,1976,PF,25.0,NOJ,66.0,0.0,26.3,4.7,10.5,0.446,0.0,0.0,0.0,4.7,10.5,0.446,0.446,2.2,2.7,0.804,2.9,5.5,8.4,2.1,1.0,0.4,0.0,3.4,11.5
Dennis Bell,1976,SF,24.0,NYK,10.0,0.0,7.6,0.8,2.1,0.381,0.0,0.0,0.0,0.8,2.1,0.381,0.381,0.3,0.7,0.429,0.4,1.0,1.4,0.3,0.6,0.1,0.0,1.1,1.9
Leon Benbow,1976,SG,25.0,CHI,76.0,0.0,20.9,2.9,7.3,0.397,0.0,0.0,0.0,2.9,7.3,0.397,0.397,1.4,1.8,0.75,0.9,1.5,2.3,2.1,0.8,0.1,0.0,2.4,7.1
Henry Bibby,1976,PG,26.0,NOJ,79.0,0.0,22.4,3.4,7.9,0.428,0.0,0.0,0.0,3.4,7.9,0.428,0.428,2.5,3.2,0.797,0.7,1.5,2.3,2.8,0.8,0.0,0.0,2.1,9.3
Bob Bigelow,1976,SF,22.0,KCK,31.0,0.0,5.3,0.5,1.5,0.34,0.0,0.0,0.0,0.5,1.5,0.34,0.34,0.8,1.1,0.727,0.3,0.6,0.9,0.3,0.1,0.0,0.0,0.6,1.8
Dave Bing*,1976,PG,32.0,WSB,82.0,0.0,35.9,6.1,13.6,0.447,0.0,0.0,0.0,6.1,13.6,0.447,0.447,4.0,5.1,0.787,1.1,1.7,2.9,6.0,1.4,0.3,0.0,3.2,16.2
John Block,1976,PF,31.0,CHI,2.0,0.0,3.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,2.0
Tom Boerwinkle,1976,C,30.0,CHI,74.0,0.0,27.6,3.6,7.2,0.5,0.0,0.0,0.0,3.6,7.2,0.5,0.5,1.6,2.4,0.667,3.6,7.1,10.7,3.8,0.6,0.7,0.0,3.6,8.8
Tom Boswell,1976,PF,22.0,BOS,35.0,0.0,7.9,1.2,2.7,0.441,0.0,0.0,0.0,1.2,2.7,0.441,0.441,0.4,0.7,0.583,0.7,1.3,2.0,0.5,0.1,0.0,0.0,2.0,2.7
Freddie Boyd,1976,SG-PG,25.0,TOT,36.0,0.0,17.1,2.1,4.8,0.433,0.0,0.0,0.0,2.1,4.8,0.433,0.433,0.8,1.4,0.569,0.1,0.8,0.9,2.2,0.8,0.2,0.0,1.6,4.9
Freddie Boyd,1976,PG,25.0,PHI,6.0,0.0,5.5,0.3,1.0,0.33299999999999996,0.0,0.0,0.0,0.3,1.0,0.33299999999999996,0.33299999999999996,0.2,0.3,0.5,0.0,0.3,0.3,0.3,0.2,0.0,0.0,0.8,0.8
Freddie Boyd,1976,SG,25.0,NOJ,30.0,0.0,19.5,2.4,5.5,0.436,0.0,0.0,0.0,2.4,5.5,0.436,0.436,0.9,1.6,0.5710000000000001,0.1,0.9,1.0,2.6,0.9,0.2,0.0,1.8,5.7
Bill Bradley*,1976,SF,32.0,NYK,82.0,0.0,33.0,4.8,11.0,0.433,0.0,0.0,0.0,4.8,11.0,0.433,0.433,1.6,1.8,0.878,0.6,2.3,2.9,3.0,0.8,0.2,0.0,3.1,11.1
Jim Brewer,1976,PF,24.0,CLE,82.0,0.0,35.5,4.9,10.7,0.45799999999999996,0.0,0.0,0.0,4.9,10.7,0.45799999999999996,0.45799999999999996,1.7,2.6,0.654,3.6,7.2,10.9,2.5,1.1,1.1,0.0,2.6,11.5
Junior Bridgeman,1976,SF,22.0,MIL,81.0,0.0,20.3,3.5,8.0,0.439,0.0,0.0,0.0,3.5,8.0,0.439,0.439,1.6,2.0,0.795,1.4,2.2,3.6,1.9,0.6,0.3,0.0,2.9,8.6
Gary Brokaw,1976,SG,22.0,MIL,75.0,0.0,19.6,3.2,6.9,0.457,0.0,0.0,0.0,3.2,6.9,0.457,0.457,2.1,3.0,0.7,0.3,1.3,1.7,3.3,0.5,0.2,0.0,1.8,8.4
